All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     Scer1_Flye   Scer2_Flye   Scer1_hifiasm  Scer2_hifiasm  Scer1_nextdenovo  Scer1_Flye_medaka  Scer2_Flye_medaka  Scer1_hifiasm_medaka  Scer2_hifiasm_medaka  Scer1_nextdenovo_medaka  Scer1_Flye_ragtag  Scer1_Flye_ragtag_broken  Scer2_Flye_ragtag  Scer2_Flye_ragtag_broken  Scer1_hifiasm_ragtag  Scer1_hifiasm_ragtag_broken  Scer2_hifiasm_ragtag  Scer2_hifiasm_ragtag_broken  Scer1_nextdenovo_ragtag  Scer1_nextdenovo_ragtag_broken  Scer1_Flye_longstitch  Scer1_Flye_longstitch_broken  Scer2_Flye_longstitch  Scer2_Flye_longstitch_broken  Scer1_hifiasm_longstitch  Scer1_hifiasm_longstitch_broken  Scer2_hifiasm_longstitch  Scer2_hifiasm_longstitch_broken  Scer1_nextdenovo_longstitch  Scer1_nextdenovo_longstitch_broken
Duplication ratio            1.012        1.020        1.019          0.998          1.015             1.012              1.018              1.019                 0.999                 1.016                    1.010              1.010                     1.018              1.018                     1.018                 1.019                        0.999                 0.999                        1.016                    1.016                           1.011                  1.011                         1.016                  1.015                         1.018                     1.017                            0.999                     0.999                            1.012                        1.012                             
# N's per 100 kbp            0.00         0.00         0.00           0.00           0.00              0.00               0.00               0.00                  0.00                  0.00                     77.05              0.00                      958.87             0.00                      149.00                0.00                         792.49                0.00                         60.80                    0.00                            828.60                 0.00                          245.86                 0.00                          869.59                    0.00                             305.81                    0.00                             722.35                       0.00                              
# mismatches per 100 kbp     485.42       745.43       480.58         541.15         472.13            486.60             746.43             468.32                456.50                481.31                   487.27             487.50                    746.17             746.43                    468.67                468.38                       456.50                456.50                       481.36                   481.43                          481.39                 480.93                        744.51                 744.55                        465.64                    464.00                           456.50                    456.50                           468.96                       467.89                            
# indels per 100 kbp         80.71        581.89       102.11         180.95         86.75             68.60              559.43             64.27                 130.19                63.08                    68.51              68.71                     559.87             559.43                    64.33                 64.28                        130.19                130.19                       63.13                    63.09                           67.17                  66.27                         557.79                 557.51                        63.41                     63.32                            130.19                    130.19                           60.56                        60.33                             
Largest alignment            389896       50907        228406         7282           229771            390009             50827              228502                7284                  229839                   510099             390009                    200136             50827                     531079                228502                       8760                  7284                         514197                   229839                          346127                 230378                        57648                  53324                         308025                    228502                           7284                      7284                             304195                       229839                            
Total aligned length         11590164     6738402      10971970       59133          9903618           11591156           6724160            10981995              59146                 9903778                  11568437           11572631                  6718003            6724165                   10973393              10980636                     59146                 59146                        9900346                  9901281                         11540177               11541537                      6708460                6707851                       10937246                  10936815                         59146                     59146                            9843539                      9842169                           
NA50                         132440       12678        65108          4588           114427            132490             12666              65147                 4594                  114452                   202011             132490                    53749              12666                     196937                65147                        5059                  4594                         152383                   114452                          131053                 67033                         14307                  13332                         101886                    64822                            4740                      4594                             123960                       73813                             
NGA50                        130963       4751         62002          -              85621             131014             4710               62020                 -                     85653                    195498             131014                    14210              4710                      172208                62020                        -                     -                            127604                   85653                           130769                 63338                         5085                   4815                          90808                     59542                            -                         -                                101793                       60710                             
NA90                         30508        4502         20066          1566           32080             30517              4477               20080                 1563                  32079                    47773              30517                     11970              4477                      39118                 20080                        3472                  1563                         39449                    32079                           27651                  13703                         4972                   4752                          21307                     17737                            1563                      1563                             29236                        20082                             
NGA90                        20061        -            1925           -              -                 20066              -                  2659                  -                     -                        32643              20066                     -                  -                         2783                  2356                         -                     -                            -                        -                               16133                  6646                          -                      -                             -                         -                                -                         -                                -                            -                                 
auNA                         150739.3     14899.1      79839.4        4666.5         112378.7          150820.3           14867.1            79892.2               4668.4                112415.6                 223760.8           150861.0                  68078.3            14867.1                   206741.0              79967.1                      5190.8                4668.4                       189143.9                 112398.7                        142181.6               78842.5                       16873.4                15873.4                       116834.9                  78124.3                          4857.9                    4668.4                           129283.6                     85258.2                           
auNGA                        146246.7     8361.1       73011.9        24.0           92674.5           146402.0           8324.1             73105.8               24.0                  92720.4                  217373.3           146441.6                  38486.2            8324.1                    189461.8              73174.4                      26.9                  24.0                         156100.7                 92706.4                         138469.8               76148.0                       9444.9                 8863.3                        107373.8                  71173.6                          25.1                      24.0                             106824.7                     69938.5                           
LA50                         28           172          51             6              32                28                 172                51                    6                     32                       19                 28                        37                 172                       19                    51                           5                     6                            20                       32                              30                     55                            150                    162                           34                        53                               6                         6                                28                           44                                
LGA50                        30           505          59             -              43                30                 508                59                    -                     43                       20                 30                        127                508                       22                    59                           -                     -                            27                       43                              31                     58                            454                    484                           39                        62                               -                         -                                38                           60                                
LA90                         97           519          164            13             95                97                 519                164                   13                    95                       60                 97                        136                519                       70                    163                          11                    13                           66                       95                              105                    190                           463                    491                           123                       170                              12                        13                               90                           133                               
LGA90                        110          -            268            -              -                 110                -                  264                   -                     -                        68                 110                       -                  -                         137                   265                          -                     -                            -                        -                               119                    227                           -                      -                             -                         -                                -                         -                                -                            -                                 
